adult,belongs_to_collection,id,original_language,original_title,release_date,status,title
False,"{'id': 9818, 'name': 'Mortal Kombat Collection', 'poster_path': '/nauCllomdtyciLCRcVrSJKcJQbn.jpg', 'backdrop_path': '/qD3efz57VGNywAN4lTvgz3FHnBb.jpg'}",9312,en,Mortal Kombat,1995-08-18,Released,Mortal Kombat
False,,577,en,To Die For,1995-05-20,Released,To Die For
False,,11861,en,How To Make An American Quilt,1995-10-06,Released,How To Make An American Quilt
False,,807,en,Se7en,1995-09-22,Released,Se7en
False,"{'id': 136214, 'name': 'Pocahontas Collection', 'poster_path': '/s4RkDe4AjwyrlltdF6Ui7INlME6.jpg', 'backdrop_path': '/qqeOxNmtAW7WXdbrmQftgluvve7.jpg'}",10530,en,Pocahontas,1995-06-14,Released,Pocahontas
False,,8391,en,When Night Is Falling,1995-05-05,Released,When Night Is Falling
False,,629,en,The Usual Suspects,1995-07-19,Released,The Usual Suspects
False,,117164,en,Guardian Angel,1994-11-22,Released,Guardian Angel
False,,11448,en,Mighty Aphrodite,1995-09-13,Released,Mighty Aphrodite
False,,49133,it,Lamerica,1994-01-01,Released,Lamerica
False,,26441,en,The Big Green,1995-09-29,Released,The Big Green
False,,97406,en,Georgia,1995-05-19,Released,Georgia
False,,124057,en,Kids of the Round Table,1997-07-08,Released,Kids of the Round Table
False,,9089,en,Home for the Holidays,1995-11-02,Released,Home for the Holidays
False,,11010,it,Il postino,1994-09-22,Released,The Postman
False,,99040,fr,Le confessionnal,1995-09-29,Released,The Confessional
False,,11359,en,The Indian in the Cupboard,1995-07-14,Released,The Indian in the Cupboard
False,,17182,en,Eye for an Eye,1996-01-12,Released,Eye for an Eye
False,,2054,en,Mr. Holland's Opus,1995-12-29,Released,Mr. Holland's Opus
False,,10607,en,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996-01-12,Released,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
False,,19760,en,Two If by Sea,1996-01-12,Released,Two If by Sea
False,,9536,en,Bio-Dome,1996-01-12,Released,Bio-Dome
False,"{'id': 124935, 'name': 'The Lawnmower Man Collection', 'poster_path': '/slBKrKBbL1g3KURphhAYIyOOH0G.jpg', 'backdrop_path': '/id05z92s8Pwc2wbR9YAKngGqOyP.jpg'}",11525,en,Lawnmower Man 2: Beyond Cyberspace,1996-01-12,Released,Lawnmower Man 2: Beyond Cyberspace
False,,40628,en,Two Bits,1995-10-22,Released,Two Bits
False,,4482,fr,Gazon maudit,1995-02-08,Released,French Twist
False,"{'id': 43563, 'name': 'Friday Collection', 'poster_path': '/dWh1Fohgx07AEd4vRUwgIj8BYxD.jpg', 'backdrop_path': '/pXszT8ZWGj3fohU9FY0niA0IDEw.jpg'}",10634,en,Friday,1995-04-26,Released,Friday
False,"{'id': 10924, 'name': 'From Dusk Till Dawn Collection', 'poster_path': '/a156nAy5ZTGXlO5wgfvnF26aaDB.jpg', 'backdrop_path': '/oIJQPVy33uxBAu9LMXwjsgHLyxP.jpg'}",755,en,From Dusk Till Dawn,1996-01-19,Released,From Dusk Till Dawn
False,,11859,en,Fair Game,1995-11-03,Released,Fair Game
False,,28387,en,Kicking and Screaming,1995-10-06,Released,Kicking and Screaming
False,,48750,fr,Les misérables,1995-03-22,Released,Les Miserables
False,,20927,en,Bed of Roses,1996-01-26,Released,Bed of Roses
False,,36929,en,Big Bully,1996-01-26,Released,Big Bully
False,"{'id': 122017, 'name': 'Screamers Collection', 'poster_path': '/vtCuIaQvK3IyLENmuc73RFm4TU7.jpg', 'backdrop_path': None}",9102,en,Screamers,1995-09-08,Released,Screamers
False,,124626,en,Nico Icon,1995-02-18,Released,Nico Icon
False,,27526,en,The Crossing Guard,1995-11-15,Released,The Crossing Guard
False,,9623,en,The Juror,1996-02-02,Released,The Juror
False,,46785,fa,بادکنک سفید,1995-01-01,Released,The White Balloon
False,,400,en,Things to Do in Denver When You're Dead,1995-12-01,Released,Things to Do in Denver When You're Dead
False,,880,nl,Antonia,1995-09-12,Released,Antonia's Line
False,,146599,en,Once Upon a Time... When We Were Colored,1996-01-26,Released,Once Upon a Time... When We Were Colored
False,,188588,en,Last Summer in the Hamptons,1995-11-22,Released,Last Summer in the Hamptons
False,,8447,en,Angels and Insects,1995-09-10,Released,Angels and Insects
False,,10534,en,White Squall,1996-02-02,Released,White Squall
False,,17414,en,Dunston Checks In,1996-01-12,Released,Dunston Checks In
False,,13997,en,Black Sheep,1996-02-01,Released,Black Sheep
False,,2086,en,Nick of Time,1995-11-22,Released,Nick of Time
False,,61548,en,The Journey of August King,1995-09-14,Released,The Journey of August King
False,,9095,en,Mary Reilly,1996-02-23,Released,Mary Reilly
False,,12158,en,Vampire in Brooklyn,1995-10-26,Released,Vampire in Brooklyn
False,,9283,en,Beautiful Girls,1996-02-09,Released,Beautiful Girls
False,,9208,en,Broken Arrow,1996-02-09,Released,Broken Arrow
False,,40154,en,A Midwinter's Tale,1995-12-01,Released,A Midwinter's Tale
False,,406,fr,La Haine,1995-05-31,Released,La Haine
False,,45549,en,Shopping,1994-12-06,Released,Shopping
False,,63076,en,Heidi Fleiss: Hollywood Madam,1995-12-27,Released,Heidi Fleiss: Hollywood Madam
False,,11062,en,City Hall,1996-02-16,Released,City Hall
False,,13685,en,Bottle Rocket,1996-02-21,Released,Bottle Rocket
False,,47475,en,Mr. Wrong,1996-02-16,Released,Mr. Wrong
False,,2045,en,Unforgettable,1996-02-23,Released,Unforgettable
False,,9614,en,Happy Gilmore,1996-02-16,Released,Happy Gilmore
False,,688,en,The Bridges of Madison County,1995-05-28,Released,The Bridges of Madison County
False,,11907,de,Keiner liebt mich,1994-11-07,Released,Nobody Loves Me
False,"{'id': 256377, 'name': 'The Muppet Collection', 'poster_path': '/8Ew8EIdFFurMMYjSbWPu1Hl4vLX.jpg', 'backdrop_path': '/1AWd3MM90G47mxtD112gRDxSXY9.jpg'}",10874,en,Muppet Treasure Island,1996-02-16,Released,Muppet Treasure Island
False,,89333,en,Catwalk,1995-12-08,Released,Catwalk
False,,96357,en,Headless Body in Topless Bar,1995-05-20,Released,Headless Body in Topless Bar
False,,197,en,Braveheart,1995-05-24,Released,Braveheart
False,,103,en,Taxi Driver,1976-02-07,Released,Taxi Driver
False,,33542,cn,紅番區,1995-01-30,Released,Rumble in the Bronx
False,,43566,en,Before and After,1996-02-23,Released,Before and After
False,,71754,en,Margaret's Museum,1995-09-13,Released,Margaret's Museum
False,,43612,en,Le Bonheur est dans le pré,1995-01-31,Released,Happiness Is in the Field
False,,51352,en,Anne Frank Remembered,1995-06-08,Released,Anne Frank Remembered
False,,16934,en,The Young Poisoner's Handbook,1995-01-20,Released,The Young Poisoner's Handbook
False,,10324,en,If Lucy Fell,1996-03-08,Released,If Lucy Fell
False,,78406,en,Steal Big Steal Little,1995-09-29,Released,Steal Big Steal Little
False,,55731,en,Race the Sun,1996-03-22,Released,Race the Sun
False,,32119,en,The Boys of St. Vincent,1992-12-06,Released,The Boys of St. Vincent
False,,11066,en,Boomerang,1992-06-30,Released,Boomerang
False,,11104,cn,重慶森林,1994-07-14,Released,Chungking Express
False,,37975,it,L'uomo delle stelle,1995-09-21,Released,The Star Maker
False,,2074,en,Flirting with Disaster,1996-03-22,Released,Flirting with Disaster
False,"{'id': 91430, 'name': 'The Neverending Story Collection', 'poster_path': '/tXuOhgEbXoba7vVIybzGlnycoNq.jpg', 'backdrop_path': '/2IqXJIR1i0f6Ngq3A6rjXhQNqFc.jpg'}",27793,en,The NeverEnding Story III,1994-10-26,Released,The Neverending Story III: Escape from Fantasia
False,,44284,ar,صمت القصور,1994-09-30,Released,The Silences of the Palace
False,,290157,en,Jupiter's Wife,1995-01-01,Released,Jupiter's Wife
False,,110972,en,Pie in the Sky,1996-02-09,Released,Pie in the Sky
False,,32622,en,Angela,1995-01-01,Released,Angela
False,,73067,it,Frankie Starlight,1995-11-22,Released,Frankie Starlight
False,,11863,en,Jade,1995-10-13,Released,Jade
False,,55475,es,Nueba Yol,1995-08-16,Released,Nueba Yol
False,,124636,en,Sonic Outlaws,1995-08-01,Released,Sonic Outlaws
False,,9101,en,Down Periscope,1996-03-01,Released,Down Periscope
False,,123360,en,From the Journals of Jean Seberg,1995-09-08,Released,From the Journals of Jean Seberg
False,,5757,en,Man of the Year,1995-09-15,Released,Man of the Year
False,,39428,en,The Neon Bible,1995-08-23,Released,The Neon Bible
False,,124639,en,Target,1995-08-01,Released,Target
False,,9302,en,Up Close & Personal,1996-03-01,Released,Up Close & Personal
False,,11000,en,The Birdcage,1996-03-08,Released,The Birdcage
False,,249882,en,Gospa,1995-10-12,Released,Virgin Mary
False,,16388,en,The Brothers McMullen,1995-08-09,Released,The Brothers McMullen
False,"{'id': 14890, 'name': 'Bad Boys Collection', 'poster_path': '/tSVbihfvVTCbcm0zXKA7L8R6Y9v.jpg', 'backdrop_path': '/yUvBiiC77UY6SyKhfFyLj7DNbfh.jpg'}",9737,en,Bad Boys,1995-04-07,Released,Bad Boys
False,,30765,en,The Amazing Panda Adventure,1995-08-25,Released,The Amazing Panda Adventure
False,,10474,en,The Basketball Diaries,1995-04-21,Released,The Basketball Diaries
False,,22279,en,An Awfully Big Adventure,1995-07-21,Released,An Awfully Big Adventure
False,,30157,en,Amateur,1994-08-05,Released,Amateur
False,,568,en,Apollo 13,1995-06-30,Released,Apollo 13
False,,11780,en,Rob Roy,1995-04-13,Released,Rob Roy
False,,34996,en,The Addiction,1995-01-10,Released,The Addiction
False,"{'id': 120794, 'name': 'Batman Collection', 'poster_path': '/adQxUvQW8HXNsvMG5aj71pHh9T.jpg', 'backdrop_path': '/9SpZvXLZDGGtFqVDByGqSGI64Kw.jpg'}",414,en,Batman Forever,1995-06-16,Released,Batman Forever
False,,649,fr,Belle de jour,1967-05-24,Released,Belle de Jour
False,,1873,en,Beyond Rangoon,1995-05-24,Released,Beyond Rangoon
False,"{'id': 439053, 'name': 'Brooklyn Cigar Store Collection', 'poster_path': '/bgiPsYjbjbRFmEeUfYlp8ZDBVJJ.jpg', 'backdrop_path': '/r4Ov7P8OADcOxfpuDujoJl2Cqry.jpg'}",5894,en,Blue in the Face,1995-09-15,Released,Blue in the Face
False,,1775,en,Canadian Bacon,1995-06-08,Released,Canadian Bacon
False,"{'id': 8819, 'name': 'Casper Collection', 'poster_path': '/nWKbJAOFwJlJm24dTovfQuUJOc2.jpg', 'backdrop_path': None}",8839,en,Casper,1995-05-26,Released,Casper
False,,20649,en,Clockers,1995-09-15,Released,Clockers
False,,10329,en,Congo,1995-06-09,Released,Congo
False,,8963,en,Crimson Tide,1995-05-12,Released,Crimson Tide
False,,26564,en,Crumb,1994-09-10,Released,Crumb
False,"{'id': 9649, 'name': 'Mexico Trilogy', 'poster_path': '/qmPhILSFQKaRyc81mVJWl05tHai.jpg', 'backdrop_path': '/6p1OzuIKWnTDfDea7IpB9xra5J.jpg'}",8068,en,Desperado,1995-08-25,Released,Desperado
False,,8512,en,Devil in a Blue Dress,1995-09-15,Released,Devil in a Blue Dress
False,"{'id': 1570, 'name': 'Die Hard Collection', 'poster_path': '/dQP1lu4tBtCiAMeCRcuTFpJiM7y.jpg', 'backdrop_path': '/5kHVblr87FUScuab1PVSsK692IL.jpg'}",1572,en,Die Hard: With a Vengeance,1995-05-19,Released,Die Hard: With a Vengeance
False,"{'id': 259398, 'name': 'Teenage Apocalypse Trilogy', 'poster_path': '/kSLUbpxgcHErkaUc0nB193Nph6Y.jpg', 'backdrop_path': '/3pzDZR85GPgdC6b4HwHqzqeEDfB.jpg'}",13552,en,The Doom Generation,1995-10-27,Released,The Doom Generation
False,,259209,en,Feast of July,1995-10-12,Released,Feast of July
False,,6520,en,First Knight,1995-07-07,Released,First Knight
False,"{'id': 9328, 'name': 'Free Willy Collection', 'poster_path': '/3M2Q9ZDTyFBfi3ohz2gizFmnoL0.jpg', 'backdrop_path': '/aef15QAJ8Kxbh8W5zXqJb1f9Vhw.jpg'}",9073,en,Free Willy 2 - The Adventure Home,1995-07-19,Released,Free Willy 2 - The Adventure Home
False,,10428,en,Hackers,1995-09-14,Released,Hackers
False,,17447,en,Jeffrey,1995-08-18,Released,Jeffrey
False,,9886,en,Johnny Mnemonic,1995-05-26,Released,Johnny Mnemonic
False,,9482,en,Judge Dredd,1995-06-30,Released,Judge Dredd
False,,19326,en,Jury Duty,1995-04-12,Released,Jury Duty
False,,9344,en,Kids,1995-07-28,Released,Kids
False,,9071,en,Living in Oblivion,1995-01-20,Released,Living in Oblivion
False,,8973,en,Lord of Illusions,1995-08-25,Released,Lord of Illusions
False,,15730,en,Love & Human Remains,1993-05-20,Released,Love & Human Remains
False,,47608,en,Mad Love,1995-05-26,Released,Mad Love
False,,2293,en,Mallrats,1995-10-20,Released,Mallrats
False,"{'id': 286162, 'name': 'Power Rangers Collection', 'poster_path': '/zyHCzQUkgaemgCMEplqAqsp83SA.jpg', 'backdrop_path': '/ddGPthtIvNM2f8qBAyxa5GSKskK.jpg'}",9070,en,Mighty Morphin Power Rangers: The Movie,1995-06-30,Released,Mighty Morphin Power Rangers: The Movie
False,,68274,en,Moonlight and Valentino,1995-09-29,Released,Moonlight and Valentino
False,,48787,en,Mute Witness,1995-09-28,Released,Mute Witness
False,,34574,en,Nadja,1994-09-13,Released,Nadja
False,"{'id': 328073, 'name': 'Síť (kolekce)', 'poster_path': '/k8HvmCUbKHBbTJoe7hJQapQd5Uy.jpg', 'backdrop_path': '/5j4HxayNgcAgGStNKqPxM0QNC7V.jpg'}",1642,en,The Net,1995-07-28,Released,The Net
False,,11472,en,Nine Months,1995-07-12,Released,Nine Months
False,,36196,en,Party Girl,1995-06-09,Released,Party Girl
False,"{'id': 9068, 'name': 'The Prophecy Collection', 'poster_path': '/pU4wvBeirFDNk8rs9tsGZLa7Kyb.jpg', 'backdrop_path': None}",11980,en,The Prophecy,1995-09-01,Released,The Prophecy
False,,58372,en,Reckless,1995-11-17,Released,Reckless
False,,32646,en,Safe,1995-06-23,Released,Safe
False,,10533,en,The Scarlet Letter,1995-10-13,Released,The Scarlet Letter
False,,56088,en,The Show,1995-08-25,,The Show
False,"{'id': 247294, 'name': 'Showgirls Collection', 'poster_path': '/lXpCjeuKtzkckXkam8sgOaaTOhc.jpg', 'backdrop_path': '/nKMLBnDGCPdHipJs0Xk8NzNmLFS.jpg'}",10802,en,Showgirls,1995-09-22,Released,Showgirls
False,"{'id': 439053, 'name': 'Brooklyn Cigar Store Collection', 'poster_path': '/bgiPsYjbjbRFmEeUfYlp8ZDBVJJ.jpg', 'backdrop_path': '/r4Ov7P8OADcOxfpuDujoJl2Cqry.jpg'}",10149,en,Smoke,1995-06-09,Released,Smoke
False,,18402,en,Something to Talk About,1995-08-04,Released,Something to Talk About
False,"{'id': 9887, 'name': 'Species Collection', 'poster_path': '/t5J0JH1L8L7CmtC3sL3K2ybgTbE.jpg', 'backdrop_path': '/vnpcoCTZhg1EdEog1kAS0pklx1o.jpg'}",9348,en,Species,1995-07-07,Released,Species
False,,139408,en,The Stars Fell on Henrietta,1995-09-15,Released,The Stars Fell on Henrietta
False,,281,en,Strange Days,1995-10-13,Released,Strange Days
False,,5967,fr,Les parapluies de Cherbourg,1964-02-19,Released,The Umbrellas of Cherbourg
False,,79593,en,The Tie That Binds,1995-09-08,Released,The Tie That Binds
False,,47939,en,Three Wishes,1995-10-27,Released,Three Wishes
False,,36834,en,Total Eclipse,1995-11-02,Released,Total Eclipse
False,,9090,en,"To Wong Foo, Thanks for Everything! Julie Newmar",1995-09-07,Released,"To Wong Foo, Thanks for Everything! Julie Newmar"
False,"{'id': 112399, 'name': 'Under Siege Collection', 'poster_path': '/5hkZdonGNmoqatnadpDnIgEbrho.jpg', 'backdrop_path': '/4Ysa3x4wDwolRpUXBCrig7szGon.jpg'}",3512,en,Under Siege 2: Dark Territory,1995-07-13,Released,Under Siege 2: Dark Territory
False,,52856,en,Unstrung Heroes,1995-09-15,Released,Unstrung Heroes
False,,77350,en,Unzipped,1995-08-11,Released,Unzipped
False,,9560,en,A Walk in the Clouds,1995-08-11,Released,A Walk in the Clouds
False,,9804,en,Waterworld,1995-07-28,Released,Waterworld
False,,31611,en,White Man's Burden,1995-12-01,Released,White Man's Burden
False,,65796,en,Wild Bill,1995-12-01,Released,Wild Bill
False,,49805,en,The Browning Version,1994-10-12,Released,The Browning Version
False,,26258,en,Bushwhacked,1995-08-04,Released,Bushwhacked
False,"{'id': 23170, 'name': 'Burnt by the Sun Trilogy', 'poster_path': '/prqpHdXvfzz8uYwGPaHj62XfJ1H.jpg', 'backdrop_path': '/h062iMfHieuKdeujaSZBmdYlgRw.jpg'}",50797,ru,Утомлённые солнцем,1994-05-01,Released,Burnt by the Sun
False,,19155,en,Before the Rain,1994-06-09,Released,Before the Rain
False,"{'id': 123800, 'name': 'Before... Collection', 'poster_path': '/giaxAC74fht0LVQ4WKVoDzLM2Iy.jpg', 'backdrop_path': '/wtNugZq8ZzBYwPIh3VoNUJdkBWG.jpg'}",76,en,Before Sunrise,1995-01-27,Released,Before Sunrise
False,,11017,en,Billy Madison,1995-02-10,Released,Billy Madison
False,,37141,en,The Babysitter,1995-10-17,Released,The Babysitter
False,,9382,en,Boys on the Side,1995-02-03,Released,Boys on the Side
False,,6715,en,The Cure,1995-04-21,Released,The Cure
False,,18256,en,Castle Freak,1995-08-04,Released,Castle Freak
False,,22625,en,Circle of Friends,1995-03-16,Released,Circle of Friends
False,"{'id': 182813, 'name': 'Clerks Collection', 'poster_path': '/qEjGvJ9I2ak6ENjdJ23dfjqLkAK.jpg', 'backdrop_path': '/6Fjkbh2DVAvVZa3c1HamblAN5Bg.jpg'}",2292,en,Clerks,1994-09-13,Released,Clerks
False,,1909,en,Don Juan DeMarco,1994-10-01,Released,Don Juan DeMarco
False,,8984,en,Disclosure,1994-12-09,Released,Disclosure
False,,61813,en,Dream Man,1995-01-01,Released,Dream Man
False,,4954,en,Drop Zone,1994-12-08,Released,Drop Zone
False,,62488,it,Destiny Turns on the Radio,1995-04-28,Released,Destiny Turns on the Radio
False,,10531,en,Death and the Maiden,1994-05-04,Released,Death and the Maiden
False,,11929,en,Dolores Claiborne,1995-03-24,Released,Dolores Claiborne
False,"{'id': 96665, 'name': 'Dumb and Dumber Collection', 'poster_path': '/fdB86tl7SKIBWZzm0CbrYjOdE1K.jpg', 'backdrop_path': '/saUnj5K6buVafDfLfTozDH2eqdC.jpg'}",8467,en,Dumb and Dumber,1994-12-16,Released,Dumb and Dumber
False,,10451,zh,飲食男女,1994-08-03,Released,Eat Drink Man Woman
False,,20156,en,Exotica,1994-09-24,Released,Exotica
False,,18395,en,Exit to Eden,1994-10-14,Released,Exit to Eden
False,,522,en,Ed Wood,1994-09-27,Released,Ed Wood
False,,397,en,French Kiss,1995-05-05,Released,French Kiss
False,,10525,en,Forget Paris,1995-05-19,Released,Forget Paris
False,,27985,en,Far from Home: The Adventures of Yellow Dog,1995-01-13,Released,Far from Home: The Adventures of Yellow Dog
False,"{'id': 410261, 'name': 'A Goofy Movie Collection', 'poster_path': '/4AkuuP5ljZMsAhzVnpzIXPSmDoy.jpg', 'backdrop_path': '/yiLa63gIb7EGH9BbUWXHwI6PMmx.jpg'}",15789,en,A Goofy Movie,1995-04-07,Released,A Goofy Movie
False,,27303,en,Hideaway,1995-03-03,Released,Hideaway
False,,21183,en,Fluke,1995-06-02,Released,Fluke
False,,10954,fr,Farinelli,1994-12-07,Released,Farinelli
False,,47867,en,Gordy,1995-05-12,Released,Gordy
False,,43475,en,Gumby: The Movie,1995-12-01,Released,Gumby: The Movie
False,,72031,en,The Glass Shield,1994-09-16,Released,The Glass Shield
False,,14275,en,Hoop Dreams,1994-09-12,Released,Hoop Dreams
False,,1024,en,Heavenly Creatures,1994-09-02,Released,Heavenly Creatures
False,,17207,en,Houseguest,1995-01-06,Released,Houseguest
False,,13701,en,Immortal Beloved,1994-12-16,Released,Immortal Beloved
False,,14819,en,Heavyweights,1995-02-17,Released,Heavyweights
False,,32631,en,The Hunted,1995-02-24,Released,The Hunted
False,,11777,en,I.Q.,1994-12-24,Released,I.Q.
False,"{'id': 217704, 'name': 'The Vampire Chronicles', 'poster_path': '/1Iop0dywqQeD5Mm7oRVR8vZ8gkj.jpg', 'backdrop_path': '/5margBoJC97ZrciVpAUc0PiY6Rc.jpg'}",628,en,Interview with the Vampire,1994-11-11,Released,Interview with the Vampire
False,,87729,en,Jefferson in Paris,1995-03-31,Released,Jefferson in Paris
False,,18713,en,The Jerky Boys,1995-02-03,Released,The Jerky Boys
False,,6280,en,Junior,1994-11-22,Released,Junior
False,,9061,en,Just Cause,1995-02-17,Released,Just Cause
False,,37108,en,A Kid in King Arthur's Court,1995-08-11,Released,A Kid in King Arthur's Court
False,,6071,en,Kiss of Death,1995-04-21,Released,Kiss of Death
False,"{'id': 10, 'name': 'Star Wars Collection', 'poster_path': '/ghd5zOQnDaDW1mxO7R5fXXpZMu.jpg', 'backdrop_path': '/d8duYyyC9J5T825Hg7grmaabfxQ.jpg'}",11,en,Star Wars,1977-05-25,Released,Star Wars
False,,9587,en,Little Women,1994-12-21,Released,Little Women
False,,19101,en,A Little Princess,1995-05-10,Released,A Little Princess
False,,49980,en,Ladybird Ladybird,1994-02-18,Released,Ladybird Ladybird
False,,17961,fr,L'Enfer,1994-02-16,Released,L'Enfer
False,,18183,es,Como agua para chocolate,1992-04-16,Released,Like Water for Chocolate
False,,4476,en,Legends of the Fall,1994-12-16,Released,Legends of the Fall
False,,11008,en,Major Payne,1995-03-24,Released,Major Payne
False,,47504,en,Little Odessa,1994-10-27,Released,Little Odessa
False,,32325,en,Mi Vida Loca,1994-06-08,Released,Mi Vida Loca
False,,43742,en,Love Affair,1994-10-21,Released,Love Affair
False,,28313,en,Losing Isaiah,1995-03-17,Released,Losing Isaiah
False,,11318,en,The Madness of King George,1994-12-28,Released,The Madness of King George
False,,3036,en,Frankenstein,1994-11-04,Released,Mary Shelley's Frankenstein
False,,40490,en,Man of the House,1995-03-03,Released,Man of the House
False,,24070,en,Mixed Nuts,1994-12-21,Released,Mixed Nuts
False,,8986,en,Milk Money,1994-08-31,Released,Milk Money
False,,10510,en,Miracle on 34th Street,1994-11-18,Released,Miracle on 34th Street
False,,17402,en,Miami Rhapsody,1995-01-27,Released,Miami Rhapsody
False,,38722,en,My Family,1995-05-03,Released,My Family
False,,8438,en,Murder in the First,1995-01-20,Released,Murder in the First
False,,11593,en,Nobody's Fool,1994-12-23,Released,Nobody's Fool
False,,1945,en,Nell,1994-12-23,Released,Nell
False,,39310,en,New Jersey Drive,1995-04-19,Released,New Jersey Drive
False,,109560,en,New York Cop,1993-08-14,Released,New York Cop
False,,56428,en,Beyond Bedlam,1994-04-22,Released,Beyond Bedlam
False,"{'id': 286948, 'name': 'Nemesis Collection', 'poster_path': '/nKAGlTL97Sp1zIy3f6rGEqjyjGG.jpg', 'backdrop_path': None}",63105,en,Nemesis 2 - Nebula,1995-09-26,Released,Nemesis 2 - Nebula
False,,131957,en,Nina Takes a Lover,1995-03-03,Released,Nina Takes a Lover
False,,241,en,Natural Born Killers,1994-08-25,Released,Natural Born Killers
False,,9058,en,Only You,1994-09-17,Released,Only You
